Exported by,ExportComments.com,,,,,,,,
Source URL,"https://www.google.com/maps/search/schools+in+iceland/@64.1096787,-21.9320708,15919m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",,,,,,,,
Timezone,UTC,,,,,,,,
,,,,,,,,,
Some Products may not appear here because of their privacy settings,,,,,,,,,
,,,,,,,,,
,,Name,Address,City,State,Website,Location Lat,Location Lng,Tags
38,,Vesturbær Elementary School,Sólvallagata 67,"Reykjavík, Iceland",Vesturbær,https://www.vesturbaejarskoli.is/,64.1497755,-21.9576473,school
39,,Álfhólsskóli - Hjalli,Álfhólsvegur 120,"Kópavogur, Iceland",Digranes,http://alfholsskoli.is/,64.110767,-21.864344,primary_school
40,,Ölduselsskóli,4522+2CR,"Reykjavík, Iceland",Breiðholt,http://olduselsskoli.is/,64.1001117,-21.8489924,school
41,,Barnaskóli Hjallastefnunnar í Hafnarfirði,Hjallabraut 55,"Hafnarfjörður, Iceland",,https://bskhfj.hjalli.is/,64.0749427,-21.965969,"school
private_school"
42,,Dansgarðurinn-Klassíski listdansskólinn,Álfabakki 14a,"Reykjavík, Iceland",Breiðholt,http://dansgardurinn.is/,64.1087083,-21.843457,school
43,,Fellaskóli,452G+VXM,"Reykjavík, Iceland",Breiðholt,http://fellaskoli.is/,64.1022109,-21.8225625,elementary_school
44,,Flataskóli,Vifilsstaðavegur,"Garðabær, Iceland",,http://flataskoli.is/,64.0886232,-21.9261756,school
45,,Fossvogsskóli,Haðalandi 26,"Reykjavík, Iceland",Háaleiti og Bústaðir,,64.1174048,-21.866396,school
46,,Hagaskóli,42RV+736,"Reykjavík, Iceland",Vesturbær,http://www.hagaskoli.is/,64.1406616,-21.9573661,elementary_school
47,,Háskóli Íslands Skrifstofa,Iceland,"Reykjavík, Iceland",Hlíðar,http://www.hi.is/,64.1396759,-21.8955816,school
48,,Klambrar,Háteigsvegur 31-33,"Reykjavík, Iceland",Hlíðar,http://www.klambrar.is/,64.1387585,-21.9043457,kindergarten
49,,Kvennaskólinn í Reykjavík,Fríkirkjuvegur 9,"Reykjavík, Iceland",Miðborg,http://www.kvenno.is/,64.1438053,-21.9385342,higher_secondary_school
50,,Language Coop Reykjavík,Skipholt 50c,"Reykjavík, Iceland",Hlíðar,http://languagecoop.is/,64.1398539,-21.9004568,language_school
51,,Listaháskóli Íslands (Tónl.deild) / Iceland University of the Arts (Music Dept.),Skipholt 31,"Reykjavík, Iceland",Hlíðar,,64.1406268,-21.9002525,university
