Name,Address,City,State,Website,Location Lat,Location Lng,Tags
Klambrar,Háteigsvegur 31-33,"Reykjavík, Iceland",Hlíðar,http://www.klambrar.is/,64.1387585,-21.9043457,kindergarten
Kvennaskólinn í Reykjavík,Fríkirkjuvegur 9,"Reykjavík, Iceland",Miðborg,http://www.kvenno.is/,64.1438053,-21.9385342,higher_secondary_school
Language Coop Reykjavík,Skipholt 50c,"Reykjavík, Iceland",Hlíðar,http://languagecoop.is/,64.1398539,-21.9004568,language_school
Listaháskóli Íslands (Tónl.deild) / Iceland University of the Arts (Music Dept.),Skipholt 31,"Reykjavík, Iceland",Hlíðar,,64.1406268,-21.9002525,university
Menntaskólinn við Sund,43,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://www.msund.is/,64.1310216,-21.8597492,junior_college
Mánagarður,Eggertsgata 34 101,"Reykjavík, Iceland",Vesturbær,http://fs.is/,64.1348192,-21.9496142,kindergarten
Reykjavík Junior College,Lækjargata 5 101,"Reykjavík, Iceland",Miðborg,http://www.mr.is/,64.1460669,-21.9368808,high_school
Seljaskóli Elementary School,Kleifarsel 28,"Reykjavík, Iceland",Breiðholt,http://seljaskoli.is/,64.0953514,-21.8391147,elementary_school
Snælandsskóli,Víðigrund 55,"Kópavogur, Iceland",Digranes,,64.1157446,-21.8781616,school
The Reykjavik School of Visual Arts,Rauðarárstígur 10,"Reykjavík, Iceland",Hlíðar,http://mir.is/,64.1425751,-21.9141611,school
Tjarnarskóli ehf,"14b,","Reykjavík, Iceland",Miðborg,http://www.tjarnarskoli.is/,64.1455589,-21.9394904,elementary_school
Tónlistarskóli F.Í.H.,Rauðagerði 27,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://tonlistarskolifih.is/,64.1255307,-21.8572759,music_school
Austurbæjarskóli,101 Reykjavík,"Reykjavík, Iceland",Miðborg,,64.1417805,-21.9228192,elementary_school
Breiðholtsskóli,Arnarbakki 1 - 3,"Reykjavík, Iceland",Breiðholt,https://www.breidholtsskoli.is/,64.1072591,-21.8352514,school
Flugskóli Íslands,2nd floor,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://www.flugskoliislands.is/is,64.135265,-21.8453612,"flight_school
aviation_training_institute"
Foldaskóli,Logafold 1,"Reykjavík, Iceland",Grafarvogur,,64.1341758,-21.7939307,primary_school
Hólabrekkuskóli,454J+XP4,"Reykjavík, Iceland",Breiðholt,https://holabrekkuskoli.is/,64.1073763,-21.818161,school
Iceland University of the Arts,Laugarnesvegur 91,"Reykjavík, Iceland",Laugardalur,http://lhi.is/,64.1509312,-21.8846831,art_school
Laufásborg,Bergstaðastræti 58 101,"Reykjavík, Iceland",Miðborg,http://laufasborg.hjalli.is/,64.1409865,-21.9350359,school
Laugarnesskóli,"24 105,","Reykjavík, Iceland",Laugardalur,http://www.laugarnesskoli.is/,64.144843,-21.884109,school
Melaskóli,42VV+52P,"Reykjavík, Iceland",Vesturbær,http://www.melaskoli.is/,64.1429689,-21.9574146,elementary_school
"Mímir, símenntun",Höfðabakki 9,"Reykjavík, Iceland",Grafarvogur,http://mimir.is/,64.125328,-21.8081454,school
Reykjavík Technical College,Engihlíð 7,"Reykjavík, Iceland",Hlíðar,,64.1347102,-21.9171589,
Selásskóli,4648+75X,"Reykjavík, Iceland",Árbær,https://selasskoli.is/,64.1057462,-21.7845047,school
The Icelandic Health Science Institute,Vatnsmýrarvegur 16,"Reykjavík, Iceland",Miðborg,https://healthsciences.hi.is/,64.1365089,-21.929209,university
The compulsory school of Nordlingaholt,Árvað 3,"Reykjavík, Iceland",Árbær,http://www.nordlingaskoli.is/,64.1010451,-21.7725439,school
Vesturbær Elementary School,Sólvallagata 67,"Reykjavík, Iceland",Vesturbær,https://www.vesturbaejarskoli.is/,64.1497755,-21.9576473,school
Víðistaðaskóli,Hrauntunga 7,"Hafnarfjörður, Iceland",,http://www.vidistadaskoli.is/,64.0755363,-21.9567705,elementary_school
Waldorfskólinn Sólstafir,Sóltún 6,"Reykjavík, Iceland",Laugardalur,http://www.waldorf.is/,64.1432622,-21.8970344,"school
waldorf_school"
