ar,smasvaedi,kyn,aldursflokkur,fjoldi
2023,2601,2,0-4 ára,53
2023,602,1,0-4 ára,72
2023,1901,2,0-4 ára,72
2023,3902,2,0-4 ára,54
2023,204,1,0-4 ára,46
2023,3103,1,0-4 ára,69
2023,3203,2,0-4 ára,53
2023,3301,2,0-4 ára,44
2023,2602,1,0-4 ára,92
2023,2001,1,0-4 ára,61
2023,1811,2,0-4 ára,66
2023,3105,2,0-4 ára,30
2023,2802,2,0-4 ára,41
2023,2104,2,0-4 ára,46
2023,901,2,0-4 ára,59
2023,4203,2,0-4 ára,47
2023,2302,2,0-4 ára,32
2023,601,2,0-4 ára,80
2023,902,2,0-4 ára,24
2023,3403,2,0-4 ára,80
2023,1304,2,0-4 ára,101
2023,4002,1,0-4 ára,74
2023,2106,1,0-4 ára,51
2023,804,1,0-4 ára,69
2023,2403,2,0-4 ára,82
2023,3004,2,0-4 ára,157
2023,1501,2,0-4 ára,63
2023,1302,1,0-4 ára,72
2023,1302,2,0-4 ára,58
2023,2201,1,0-4 ára,76
2023,3603,1,0-4 ára,89
2023,2401,1,0-4 ára,52
2023,3201,2,0-4 ára,37
2023,2205,1,0-4 ára,62
2023,703,2,0-4 ára,42
2023,103,1,0-4 ára,30
2023,1809,1,0-4 ára,45
2023,2902,2,0-4 ára,29
2023,1704,1,0-4 ára,51
2023,1003,2,0-4 ára,56
2023,3104,1,0-4 ára,59
2023,2502,1,0-4 ára,37
2023,1004,1,0-4 ára,94
2023,1103,2,0-4 ára,50
2023,3005,2,0-4 ára,43
2023,1703,1,0-4 ára,46
2023,2705,2,0-4 ára,98
2023,1801,2,0-4 ára,36
2023,2106,2,0-4 ára,56
2023,1802,1,0-4 ára,33
2023,3602,1,0-4 ára,62
2023,4002,2,0-4 ára,72
2023,1002,1,0-4 ára,90
2023,1303,1,0-4 ára,37
2023,902,1,0-4 ára,48
2023,605,2,0-4 ára,32
2023,3804,2,0-4 ára,43
2023,3205,2,0-4 ára,47
2023,1810,1,0-4 ára,19
2023,2101,2,0-4 ára,63
2023,1301,2,0-4 ára,39
2023,2503,2,0-4 ára,41
2023,1805,2,0-4 ára,81
2023,3202,2,0-4 ára,39
2023,3305,1,0-4 ára,90
2023,805,2,0-4 ára,39
2023,1205,1,0-4 ára,23
2023,405,1,0-4 ára,76
2023,803,1,0-4 ára,82
2023,1701,2,0-4 ára,25
2023,905,2,0-4 ára,33
2023,804,2,0-4 ára,74
2023,2006,2,0-4 ára,82
2023,3902,1,0-4 ára,53
2023,1102,2,0-4 ára,70
2023,402,2,0-4 ára,83
2023,1102,1,0-4 ára,56
2023,3702,2,0-4 ára,35
2023,1904,2,0-4 ára,44
2023,2101,1,0-4 ára,89
2023,1810,2,0-4 ára,16
2023,604,2,0-4 ára,66
2023,1705,1,0-4 ára,65
2023,3304,1,0-4 ára,35
2023,3803,2,0-4 ára,39
2023,3404,1,0-4 ára,40
2023,3001,1,0-4 ára,67
2023,1404,1,0-4 ára,51
2023,1502,1,0-4 ára,82
2023,1204,2,0-4 ára,66
2023,3804,1,0-4 ára,47
2023,3104,2,0-4 ára,45
2023,204,2,0-4 ára,49
2023,3602,2,0-4 ára,45
2023,3502,2,0-4 ára,55
2023,1702,1,0-4 ára,27
2023,3203,1,0-4 ára,70
2023,2008,1,0-4 ára,27
2023,2003,1,0-4 ára,37
2023,2104,1,0-4 ára,43
2023,802,2,0-4 ára,29
2023,2403,1,0-4 ára,89
2023,704,2,0-4 ára,53
2023,1902,1,0-4 ára,34
2023,1301,1,0-4 ára,51
2023,2901,1,0-4 ára,78
2023,501,1,0-4 ára,57
2023,1904,1,0-4 ára,67
2023,4003,1,0-4 ára,33
2023,1303,2,0-4 ára,35
2023,302,2,0-4 ára,62
2023,1809,2,0-4 ára,58
2023,604,1,0-4 ára,61
2023,3701,2,0-4 ára,24
