ar,smasvaedi,aldursflokkur,fjoldi,fjoldi_total
2023,101,65-69 ára,17,1386
2023,101,25-29 ára,96,1496
2023,101,50-54 ára,41,1496
2023,101,55-59 ára,34,1496
2023,101,10-14 ára,36,1386
2024,101,55-59 ára,33,1386
2024,101,65-69 ára,25,1496
2023,101,65-69 ára,22,1496
2024,101,85-89 ára,5,1496
2024,101,80-84 ára,7,1496
2023,101,80-84 ára,8,1496
2023,101,75-79 ára,12,1496
2023,101,25-29 ára,64,1386
2024,101,55-59 ára,38,1496
2024,101,25-29 ára,77,1496
2024,101,15-19 ára,39,1496
2024,101,15-19 ára,34,1386
2023,101,30-34 ára,97,1496
2024,101,35-39 ára,77,1386
2024,101,10-14 ára,41,1496
2023,101,60-64 ára,26,1496
2024,101,70-74 ára,19,1496
2023,101,55-59 ára,37,1386
2024,101,40-44 ára,72,1386
2024,101,50-54 ára,42,1496
2024,101,25-29 ára,62,1386
2024,101,80-84 ára,4,1386
2024,101,60-64 ára,24,1496
2024,101,35-39 ára,67,1496
2023,101,20-24 ára,57,1386
2023,101,75-79 ára,7,1386
2024,101,75-79 ára,10,1496
2024,101,30-34 ára,95,1496
2024,101,20-24 ára,55,1386
2023,101,5-9 ára,43,1496
2023,101,80-84 ára,2,1386
2023,101,60-64 ára,28,1386
2023,101,30-34 ára,101,1386
2023,101,70-74 ára,16,1496
2024,101,20-24 ára,53,1496
2024,101,90 ára og eldri,4,1496
2024,101,65-69 ára,25,1386
2023,101,45-49 ára,45,1496
2024,101,5-9 ára,43,1496
2023,101,35-39 ára,67,1496
2024,101,10-14 ára,35,1386
2024,101,0-4 ára,42,1386
2024,101,0-4 ára,46,1496
2023,101,15-19 ára,39,1496
2023,101,0-4 ára,51,1496
2023,101,0-4 ára,51,1386
2024,101,45-49 ára,45,1386
2024,101,75-79 ára,4,1386
2023,101,90 ára og eldri,3,1496
2024,101,50-54 ára,34,1386
2023,101,20-24 ára,51,1496
2024,101,70-74 ára,12,1386
2023,101,15-19 ára,34,1386
2023,101,40-44 ára,59,1496
2024,101,5-9 ára,34,1386
2023,101,10-14 ára,44,1496
2024,101,30-34 ára,91,1386
2023,101,5-9 ára,31,1386
2023,101,50-54 ára,31,1386
2023,101,70-74 ára,12,1386
2024,101,45-49 ára,41,1496
2023,101,90 ára og eldri,2,1386
2023,101,35-39 ára,70,1386
2023,101,85-89 ára,5,1496
2024,101,90 ára og eldri,1,1386
2023,101,45-49 ára,52,1386
2024,101,60-64 ára,28,1386
2024,101,40-44 ára,61,1496
2023,101,40-44 ára,66,1386
2024,102,30-34 ára,55,1206
2024,102,60-64 ára,19,1097
2023,102,65-69 ára,20,1097
2024,102,10-14 ára,35,1206
2024,102,65-69 ára,20,1097
2023,102,55-59 ára,33,1097
2023,102,75-79 ára,13,1097
2023,102,60-64 ára,21,1097
2024,102,30-34 ára,68,1097
2023,102,60-64 ára,20,1206
2023,102,30-34 ára,65,1097
2023,102,75-79 ára,11,1206
2023,102,90 ára og eldri,7,1097
2024,102,85-89 ára,18,1206
2023,102,35-39 ára,44,1206
2023,102,15-19 ára,46,1206
2023,102,10-14 ára,26,1097
2023,102,70-74 ára,13,1206
2024,102,75-79 ára,14,1097
2023,102,85-89 ára,16,1206
2024,102,90 ára og eldri,18,1206
2023,102,80-84 ára,6,1097
2024,102,20-24 ára,36,1097
2024,102,85-89 ára,4,1097
2023,102,10-14 ára,43,1206
2023,102,65-69 ára,28,1206
2024,102,25-29 ára,43,1206
2024,102,35-39 ára,46,1206
2024,102,45-49 ára,49,1097
2023,102,20-24 ára,28,1097
2024,102,80-84 ára,8,1097
2024,102,50-54 ára,31,1097
2023,102,40-44 ára,45,1206
2023,102,40-44 ára,41,1097
2023,102,30-34 ára,59,1206
2023,102,25-29 ára,56,1097
2024,102,10-14 ára,26,1097
2023,102,45-49 ára,40,1206
2023,102,0-4 ára,34,1097
2024,102,5-9 ára,27,1097
2024,102,25-29 ára,44,1097
2024,102,55-59 ára,27,1206
2024,102,20-24 ára,29,1206
2023,102,50-54 ára,29,1206
2023,102,45-49 ára,42,1097
2024,102,45-49 ára,39,1206
2024,102,70-74 ára,20,1206
2024,102,0-4 ára,35,1097
2024,102,40-44 ára,46,1206
2024,102,15-19 ára,36,1097
2024,102,80-84 ára,12,1206
2023,102,80-84 ára,12,1206
2023,102,5-9 ára,31,1206
2024,102,75-79 ára,13,1206
2024,102,15-19 ára,52,1206
2023,102,90 ára og eldri,26,1206
2023,102,5-9 ára,28,1097
2024,102,35-39 ára,46,1097
2024,102,55-59 ára,29,1097
2023,102,0-4 ára,34,1206
2024,102,90 ára og eldri,7,1097
2024,102,70-74 ára,19,1097
2024,102,60-64 ára,21,1206
2023,102,55-59 ára,27,1206
2024,102,5-9 ára,35,1206
2023,102,20-24 ára,32,1206
2023,102,15-19 ára,37,1097
2024,102,50-54 ára,35,1206
2024,102,40-44 ára,29,1097
2024,102,0-4 ára,31,1206
2023,102,70-74 ára,19,1097
2023,102,85-89 ára,5,1097
2024,102,65-69 ára,22,1206
2023,102,35-39 ára,43,1097
2023,102,50-54 ára,26,1097
2023,102,25-29 ára,53,1206
2024,103,25-29 ára,65,1285
2024,103,75-79 ára,15,1285
2024,103,90 ára og eldri,2,1250
2023,103,30-34 ára,74,1250
2023,103,80-84 ára,7,1285
2024,103,30-34 ára,64,1285
2023,103,85-89 ára,1,1285
2024,103,15-19 ára,45,1285
2024,103,75-79 ára,20,1250
2023,103,40-44 ára,51,1250
2023,103,20-24 ára,33,1250
2023,103,30-34 ára,53,1285
2024,103,85-89 ára,5,1250
2023,103,0-4 ára,30,1250
2023,103,60-64 ára,37,1285
2023,103,10-14 ára,32,1285
2023,103,70-74 ára,25,1285
2024,103,85-89 ára,1,1285
2023,103,35-39 ára,54,1285
2024,103,50-54 ára,37,1250
2024,103,65-69 ára,25,1250
2023,103,0-4 ára,37,1285
2023,103,40-44 ára,38,1285
2024,103,90 ára og eldri,2,1285
2023,103,45-49 ára,48,1285
2024,103,10-14 ára,31,1250
2023,103,85-89 ára,4,1250
2023,103,75-79 ára,18,1250
2023,103,15-19 ára,47,1285
2023,103,25-29 ára,73,1250
2023,103,50-54 ára,35,1285
2023,103,35-39 ára,37,1250
2024,103,50-54 ára,38,1285
2024,103,70-74 ára,30,1250
2024,103,40-44 ára,51,1250
2024,103,20-24 ára,36,1250
2023,103,65-69 ára,27,1250
2024,103,70-74 ára,25,1285
2024,103,60-64 ára,35,1285
2023,103,60-64 ára,32,1250
2024,103,80-84 ára,3,1250
2024,103,60-64 ára,28,1250
2024,103,30-34 ára,77,1250
2023,103,5-9 ára,27,1285
2023,103,90 ára og eldri,2,1285
2023,103,50-54 ára,39,1250
2023,103,10-14 ára,35,1250
2024,103,25-29 ára,66,1250
2023,103,20-24 ára,54,1285
2024,103,0-4 ára,34,1285
2023,103,90 ára og eldri,1,1250
2023,103,25-29 ára,72,1285
2024,103,15-19 ára,26,1250
2024,103,45-49 ára,43,1250
2023,103,65-69 ára,41,1285
2024,103,5-9 ára,30,1250
2023,103,75-79 ára,9,1285
2024,103,35-39 ára,45,1250
2023,103,55-59 ára,40,1250
2024,103,0-4 ára,23,1250
2024,103,80-84 ára,6,1285
2023,103,15-19 ára,27,1250
2023,103,45-49 ára,46,1250
2023,103,55-59 ára,31,1285
2024,103,45-49 ára,48,1285
2023,103,80-84 ára,5,1250
2024,103,40-44 ára,33,1285
2024,103,10-14 ára,30,1285
2024,103,55-59 ára,46,1250
2024,103,55-59 ára,34,1285
2023,103,70-74 ára,25,1250
2024,103,5-9 ára,24,1285
2024,103,65-69 ára,38,1285
2024,103,20-24 ára,55,1285
2024,103,35-39 ára,43,1285
2023,103,5-9 ára,29,1250
2023,104,50-54 ára,30,1192
2023,104,35-39 ára,59,1087
2023,104,20-24 ára,34,1087
2024,104,90 ára og eldri,2,1087
2024,104,20-24 ára,35,1087
2023,104,85-89 ára,2,1192
2024,104,65-69 ára,15,1087
2023,104,20-24 ára,28,1192
2024,104,80-84 ára,8,1087
2023,104,45-49 ára,40,1192
2024,104,60-64 ára,24,1192
2023,104,25-29 ára,56,1087
2024,104,40-44 ára,55,1087
2024,104,50-54 ára,33,1192
2023,104,70-74 ára,23,1192
2024,104,45-49 ára,37,1087
2023,104,65-69 ára,24,1192
2023,104,10-14 ára,19,1087
2023,104,10-14 ára,28,1192
2024,104,85-89 ára,3,1087
2023,104,85-89 ára,3,1087
2024,104,10-14 ára,26,1192
2024,104,45-49 ára,42,1192
2024,104,0-4 ára,35,1087
2023,104,80-84 ára,4,1087
2024,104,55-59 ára,30,1192
2023,104,50-54 ára,30,1087
2023,104,65-69 ára,26,1087
2024,104,15-19 ára,30,1192
2024,104,60-64 ára,23,1087
2023,104,45-49 ára,37,1087
2023,104,5-9 ára,23,1087
2023,104,25-29 ára,60,1192
2023,104,60-64 ára,15,1192
2023,104,30-34 ára,62,1087
2023,104,0-4 ára,43,1192
2024,104,20-24 ára,39,1192
2023,104,5-9 ára,33,1192
2024,104,25-29 ára,63,1192
2024,104,30-34 ára,68,1087
2023,104,15-19 ára,28,1192
2024,104,70-74 ára,22,1192
2023,104,0-4 ára,33,1087
2023,104,15-19 ára,28,1087
2024,104,35-39 ára,45,1087
2023,104,80-84 ára,7,1192
2024,104,80-84 ára,9,1192
2024,104,10-14 ára,22,1087
2023,104,40-44 ára,39,1087
2023,104,55-59 ára,34,1192
2024,104,0-4 ára,34,1192
2023,104,70-74 ára,22,1087
2024,104,15-19 ára,20,1087
2023,104,35-39 ára,50,1192
2024,104,75-79 ára,18,1192
2024,104,70-74 ára,27,1087
2024,104,35-39 ára,55,1192
2024,104,5-9 ára,24,1087
2024,104,40-44 ára,47,1192
2023,104,75-79 ára,14,1192
2024,104,85-89 ára,2,1192
2024,104,55-59 ára,26,1087
2024,104,30-34 ára,82,1192
2023,104,30-34 ára,79,1192
2024,104,65-69 ára,19,1192
2023,104,90 ára og eldri,2,1087
2024,104,25-29 ára,64,1087
2024,104,50-54 ára,30,1087
2024,104,5-9 ára,28,1192
2023,104,60-64 ára,26,1087
2023,104,75-79 ára,12,1087
2023,104,40-44 ára,51,1192
2024,104,75-79 ára,14,1087
2023,104,55-59 ára,19,1087
2024,201,10-14 ára,26,1042
2024,201,75-79 ára,19,1042
2023,201,25-29 ára,40,1042
2024,201,70-74 ára,15,1042
2024,201,15-19 ára,50,1042
2023,201,10-14 ára,34,1069
2024,201,0-4 ára,24,1042
2024,201,20-24 ára,39,1069
2023,201,65-69 ára,30,1069
2024,201,50-54 ára,50,1069
2024,201,25-29 ára,38,1042
2024,201,80-84 ára,18,1069
2024,201,50-54 ára,43,1042
2023,201,70-74 ára,19,1042
2024,201,65-69 ára,34,1042
2023,201,60-64 ára,40,1069
2024,201,35-39 ára,29,1069
2023,201,35-39 ára,22,1042
2023,201,20-24 ára,41,1042
2023,201,5-9 ára,28,1069
2023,201,0-4 ára,29,1042
2024,201,90 ára og eldri,6,1042
2024,201,55-59 ára,33,1069
2024,201,80-84 ára,9,1042
2024,201,0-4 ára,17,1069
2024,201,75-79 ára,14,1069
2023,201,5-9 ára,22,1042
2024,201,45-49 ára,31,1069
2024,201,65-69 ára,33,1069
2023,201,30-34 ára,28,1069
2023,201,30-34 ára,34,1042
2024,201,5-9 ára,28,1042
2024,201,25-29 ára,31,1069
2024,201,10-14 ára,33,1069
2023,201,40-44 ára,27,1069
2023,201,0-4 ára,20,1069
2023,201,40-44 ára,22,1042
2024,201,35-39 ára,20,1042
2023,201,80-84 ára,16,1069
2024,201,70-74 ára,26,1069
2023,201,20-24 ára,44,1069
2023,201,10-14 ára,35,1042
2024,201,40-44 ára,26,1042
2023,201,35-39 ára,32,1069
2023,201,45-49 ára,37,1042
2023,201,25-29 ára,39,1069
2024,201,85-89 ára,6,1042
2024,201,60-64 ára,38,1069
2024,201,40-44 ára,31,1069
2024,201,55-59 ára,32,1042
2023,201,75-79 ára,15,1042
2024,201,30-34 ára,29,1069
2024,201,45-49 ára,29,1042
2023,201,55-59 ára,27,1042
2024,201,90 ára og eldri,10,1069
2023,201,15-19 ára,46,1042
2024,201,20-24 ára,43,1042
2023,201,50-54 ára,45,1042
2023,201,85-89 ára,10,1069
2023,201,45-49 ára,32,1069
2023,201,90 ára og eldri,3,1042
2023,201,55-59 ára,27,1069
2023,201,15-19 ára,32,1069
2023,201,90 ára og eldri,7,1069
2024,201,85-89 ára,9,1069
2023,201,50-54 ára,55,1069
2024,201,15-19 ára,36,1069
2024,201,5-9 ára,21,1069
2024,201,30-34 ára,40,1042
2023,201,70-74 ára,23,1069
2024,201,60-64 ára,33,1042
2023,201,60-64 ára,36,1042
2023,201,65-69 ára,30,1042
2023,201,85-89 ára,6,1042
2023,201,75-79 ára,17,1069
2023,201,80-84 ára,12,1042
2024,202,55-59 ára,27,1559
2023,202,20-24 ára,111,1631
2023,202,90 ára og eldri,2,1559
2023,202,65-69 ára,24,1631
2023,202,30-34 ára,82,1631
2024,202,35-39 ára,64,1631
2023,202,45-49 ára,42,1559
2023,202,65-69 ára,23,1559
2024,202,55-59 ára,21,1631
2023,202,45-49 ára,42,1631
2023,202,60-64 ára,19,1559
2023,202,80-84 ára,3,1559
2023,202,20-24 ára,81,1559
2023,202,0-4 ára,65,1559
2023,202,5-9 ára,38,1631
2024,202,70-74 ára,16,1631
2023,202,75-79 ára,13,1559
2023,202,15-19 ára,35,1631
2023,202,15-19 ára,31,1559
2024,202,35-39 ára,59,1559
2024,202,45-49 ára,38,1559
2024,202,20-24 ára,104,1631
2024,202,45-49 ára,41,1631
2023,202,35-39 ára,60,1631
2024,202,75-79 ára,15,1559
2024,202,15-19 ára,31,1631
2024,202,15-19 ára,35,1559
2024,202,90 ára og eldri,6,1631
2024,202,20-24 ára,61,1559
2023,202,30-34 ára,81,1559
2023,202,55-59 ára,25,1559
2024,202,60-64 ára,24,1559
2024,202,65-69 ára,27,1631
2023,202,80-84 ára,2,1631
2024,202,5-9 ára,62,1559
2024,202,80-84 ára,3,1559
2023,202,85-89 ára,3,1559
2023,202,35-39 ára,65,1559
2024,202,40-44 ára,58,1559
2023,202,40-44 ára,46,1631
2024,202,0-4 ára,72,1631
2023,202,60-64 ára,28,1631
2024,202,5-9 ára,46,1631
2024,202,80-84 ára,2,1631
2023,202,40-44 ára,47,1559
2024,202,30-34 ára,99,1559
2023,202,25-29 ára,128,1631
2023,202,90 ára og eldri,5,1631
2023,202,10-14 ára,50,1631
2023,202,50-54 ára,24,1559
2024,202,10-14 ára,50,1559
2023,202,10-14 ára,43,1559
2023,202,55-59 ára,26,1631
2024,202,40-44 ára,55,1631
2024,202,0-4 ára,81,1559
2024,202,65-69 ára,23,1559
2024,202,90 ára og eldri,2,1559
2024,202,50-54 ára,29,1559
2024,202,30-34 ára,101,1631
2024,202,70-74 ára,18,1559
2023,202,70-74 ára,19,1631
2024,202,25-29 ára,116,1559
2023,202,70-74 ára,19,1559
2023,202,5-9 ára,57,1559
2023,202,0-4 ára,71,1631
2024,202,75-79 ára,9,1631
2024,202,85-89 ára,3,1559
2023,202,85-89 ára,6,1631
2024,202,10-14 ára,47,1631
2024,202,50-54 ára,25,1631
2023,202,25-29 ára,113,1559
2023,202,50-54 ára,24,1631
2023,202,75-79 ára,8,1631
2024,202,85-89 ára,4,1631
2024,202,60-64 ára,34,1631
2024,202,25-29 ára,121,1631
2024,203,25-29 ára,64,1645
2023,203,25-29 ára,70,1725
2023,203,55-59 ára,35,1725
2023,203,30-34 ára,74,1725
2024,203,50-54 ára,49,1725
2023,203,0-4 ára,48,1725
2024,203,45-49 ára,64,1645
2023,203,5-9 ára,54,1645
2024,203,35-39 ára,80,1725
2024,203,30-34 ára,99,1645
2023,203,15-19 ára,60,1645
2023,203,40-44 ára,69,1725
2024,203,0-4 ára,52,1725
2024,203,75-79 ára,14,1645
2023,203,60-64 ára,35,1725
2024,203,15-19 ára,68,1645
2024,203,55-59 ára,38,1725
2023,203,45-49 ára,59,1725
2024,203,70-74 ára,21,1645
2023,203,80-84 ára,3,1645
2023,203,80-84 ára,8,1725
2023,203,45-49 ára,59,1645
2024,203,10-14 ára,70,1725
2023,203,5-9 ára,48,1725
2024,203,40-44 ára,78,1725
2024,203,60-64 ára,37,1725
2023,203,65-69 ára,28,1645
2024,203,50-54 ára,45,1645
2024,203,60-64 ára,42,1645
2023,203,75-79 ára,12,1645
2023,203,35-39 ára,63,1645
2023,203,65-69 ára,37,1725
2024,203,0-4 ára,69,1645
2024,203,85-89 ára,2,1645
2023,203,90 ára og eldri,5,1725
2023,203,25-29 ára,69,1645
2024,203,80-84 ára,5,1645
2023,203,60-64 ára,46,1645
2023,203,35-39 ára,70,1725
2024,203,65-69 ára,37,1725
2023,203,20-24 ára,38,1645
2024,203,55-59 ára,27,1645
2024,203,65-69 ára,27,1645
2023,203,0-4 ára,74,1645
2024,203,20-24 ára,46,1645
2024,203,15-19 ára,54,1725
2024,203,5-9 ára,50,1725
2023,203,70-74 ára,22,1725
2024,203,40-44 ára,63,1645
2024,203,70-74 ára,22,1725
2024,203,85-89 ára,5,1725
2023,203,75-79 ára,9,1725
2024,203,35-39 ára,75,1645
2023,203,40-44 ára,73,1645
2023,203,50-54 ára,55,1725
2024,203,30-34 ára,90,1725
2024,203,25-29 ára,97,1725
2024,203,90 ára og eldri,5,1725
2024,203,20-24 ára,61,1725
2023,203,30-34 ára,78,1645
2024,203,45-49 ára,57,1725
2023,203,15-19 ára,62,1725
2023,203,10-14 ára,72,1725
2023,203,85-89 ára,3,1645
2023,203,70-74 ára,18,1645
2023,203,50-54 ára,39,1645
2024,203,75-79 ára,12,1725
2024,203,10-14 ára,46,1645
2024,203,5-9 ára,63,1645
2023,203,20-24 ára,41,1725
2024,203,80-84 ára,7,1725
2023,203,55-59 ára,30,1645
2023,203,85-89 ára,5,1725
2023,203,10-14 ára,58,1645
2024,204,80-84 ára,9,1393
2023,204,35-39 ára,50,1289
2023,204,50-54 ára,40,1289
2023,204,15-19 ára,53,1393
2023,204,80-84 ára,10,1289
2024,204,20-24 ára,47,1393
2024,204,15-19 ára,40,1393
2024,204,5-9 ára,31,1289
2023,204,45-49 ára,49,1289
2024,204,10-14 ára,55,1289
2024,204,45-49 ára,50,1393
2024,204,15-19 ára,48,1289
2023,204,20-24 ára,32,1289
2023,204,65-69 ára,37,1393
2024,204,90 ára og eldri,1,1289
2023,204,75-79 ára,8,1289
2024,204,75-79 ára,11,1289
2023,204,0-4 ára,46,1289
2023,204,70-74 ára,21,1289
2024,204,0-4 ára,51,1289
2023,204,55-59 ára,27,1289
2024,204,10-14 ára,57,1393
2023,204,80-84 ára,13,1393
2024,204,70-74 ára,24,1289
2024,204,80-84 ára,8,1289
2023,204,5-9 ára,46,1393
2024,204,60-64 ára,24,1289
2023,204,65-69 ára,24,1289
2024,204,55-59 ára,32,1393
2023,204,50-54 ára,35,1393
2023,204,90 ára og eldri,1,1289
2024,204,40-44 ára,55,1289
2023,204,40-44 ára,55,1289
2024,204,40-44 ára,57,1393
2024,204,85-89 ára,7,1289
2023,204,30-34 ára,52,1289
2024,204,60-64 ára,34,1393
2023,204,85-89 ára,7,1289
2023,204,10-14 ára,45,1393
2024,204,75-79 ára,18,1393
2023,204,90 ára og eldri,1,1393
2023,204,60-64 ára,35,1393
2024,204,0-4 ára,39,1393
2024,204,90 ára og eldri,4,1393
2023,204,5-9 ára,32,1289
2023,204,10-14 ára,62,1289
2023,204,75-79 ára,13,1393
2023,204,45-49 ára,50,1393
2024,204,70-74 ára,16,1393
2023,204,55-59 ára,33,1393
2024,204,55-59 ára,28,1289
2024,204,45-49 ára,43,1289
2023,204,25-29 ára,51,1393
2024,204,35-39 ára,53,1393
2023,204,40-44 ára,52,1393
2023,204,20-24 ára,40,1393
2024,204,50-54 ára,37,1393
2024,204,25-29 ára,55,1393
2024,204,20-24 ára,35,1289
2023,204,25-29 ára,62,1289
2024,204,5-9 ára,39,1393
2024,204,35-39 ára,49,1289
2024,204,30-34 ára,62,1289
2023,204,0-4 ára,49,1393
2023,204,35-39 ára,57,1393
2023,204,30-34 ára,65,1393
2024,204,85-89 ára,7,1393
2023,204,60-64 ára,25,1289
2023,204,15-19 ára,42,1289
2023,204,70-74 ára,19,1393
2023,204,85-89 ára,7,1393
2024,204,25-29 ára,46,1289
2024,204,65-69 ára,24,1289
2024,204,50-54 ára,42,1289
2024,204,30-34 ára,61,1393
2024,204,65-69 ára,37,1393
2023,205,90 ára og eldri,5,1250
2023,205,20-24 ára,32,1250
2024,205,45-49 ára,46,1221
2023,205,70-74 ára,12,1250
2023,205,0-4 ára,40,1221
2023,205,85-89 ára,1,1221
2024,205,10-14 ára,37,1221
2023,205,10-14 ára,38,1250
2024,205,80-84 ára,3,1221
2024,205,60-64 ára,21,1221
2023,205,25-29 ára,70,1250
2023,205,15-19 ára,38,1250
2023,205,35-39 ára,61,1250
2024,205,65-69 ára,17,1221
2024,205,30-34 ára,64,1221
2024,205,10-14 ára,35,1250
2023,205,5-9 ára,30,1221
2024,205,80-84 ára,6,1250
2023,205,65-69 ára,19,1250
2024,205,60-64 ára,26,1250
2024,205,85-89 ára,3,1250
2023,205,45-49 ára,56,1250
2023,205,45-49 ára,36,1221
2024,205,0-4 ára,41,1221
2024,205,40-44 ára,42,1250
2023,205,60-64 ára,30,1221
2024,205,25-29 ára,64,1221
2024,205,90 ára og eldri,2,1250
2024,205,70-74 ára,9,1250
2024,205,70-74 ára,18,1221
2023,205,0-4 ára,41,1250
2023,205,70-74 ára,16,1221
2024,205,35-39 ára,50,1221
2023,205,40-44 ára,41,1250
2024,205,55-59 ára,28,1250
2024,205,35-39 ára,61,1250
2023,205,65-69 ára,16,1221
2024,205,90 ára og eldri,2,1221
2024,205,15-19 ára,44,1221
2023,205,5-9 ára,37,1250
2023,205,15-19 ára,35,1221
2024,205,15-19 ára,35,1250
2024,205,0-4 ára,35,1250
2024,205,75-79 ára,12,1221
2024,205,45-49 ára,51,1250
2024,205,25-29 ára,64,1250
2024,205,5-9 ára,31,1221
2024,205,20-24 ára,47,1250
2023,205,55-59 ára,22,1250
2023,205,10-14 ára,49,1221
2024,205,50-54 ára,43,1250
2023,205,75-79 ára,10,1221
2023,205,30-34 ára,63,1221
2024,205,20-24 ára,40,1221
2024,205,55-59 ára,34,1221
2024,205,75-79 ára,11,1250
2023,205,50-54 ára,41,1250
2024,205,5-9 ára,41,1250
2023,205,55-59 ára,33,1221
2023,205,80-84 ára,3,1221
2024,205,30-34 ára,69,1250
2023,205,75-79 ára,10,1250
2023,205,60-64 ára,26,1250
2023,205,90 ára og eldri,3,1221
2023,205,30-34 ára,60,1250
2023,205,20-24 ára,51,1221
2024,205,50-54 ára,38,1221
2023,205,85-89 ára,4,1250
2024,205,85-89 ára,1,1221
2023,205,25-29 ára,62,1221
2023,205,80-84 ára,5,1250
2023,205,40-44 ára,48,1221
2024,205,65-69 ára,24,1250
2023,205,35-39 ára,46,1221
2024,205,40-44 ára,50,1221
2023,205,50-54 ára,36,1221
2023,206,80-84 ára,6,1713
2023,206,5-9 ára,50,1713
2024,206,15-19 ára,55,1785
2023,206,10-14 ára,71,1785
2024,206,70-74 ára,36,1785
2024,206,0-4 ára,70,1785
2023,206,35-39 ára,84,1785
2024,206,40-44 ára,74,1713
2024,206,75-79 ára,30,1713
2023,206,30-34 ára,73,1785
2023,206,80-84 ára,10,1785
2023,206,25-29 ára,62,1785
2023,206,70-74 ára,37,1785
2023,206,45-49 ára,52,1785
2024,206,10-14 ára,65,1713
2024,206,5-9 ára,70,1785
2023,206,65-69 ára,38,1785
2024,206,55-59 ára,40,1713
2024,206,50-54 ára,48,1785
2024,206,30-34 ára,87,1785
2024,206,25-29 ára,61,1785
2023,206,60-64 ára,43,1713
2023,206,85-89 ára,6,1785
2023,206,70-74 ára,50,1713
2024,206,65-69 ára,34,1785
2024,206,50-54 ára,42,1713
2023,206,35-39 ára,73,1713
2024,206,35-39 ára,70,1713
2023,206,85-89 ára,2,1713
2023,206,0-4 ára,52,1713
2024,206,65-69 ára,35,1713
2023,206,65-69 ára,46,1713
2023,206,0-4 ára,70,1785
2023,206,50-54 ára,40,1785
2023,206,90 ára og eldri,3,1713
2024,206,85-89 ára,1,1713
2024,206,10-14 ára,72,1785
2024,206,75-79 ára,20,1785
2024,206,80-84 ára,9,1785
2023,206,15-19 ára,63,1785
2023,206,45-49 ára,57,1713
2024,206,40-44 ára,71,1785
2024,206,55-59 ára,45,1785
2024,206,5-9 ára,50,1713
2023,206,40-44 ára,62,1785
2023,206,25-29 ára,60,1713
2024,206,25-29 ára,62,1713
2023,206,50-54 ára,41,1713
2023,206,75-79 ára,14,1785
2023,206,90 ára og eldri,1,1785
2024,206,20-24 ára,53,1785
2023,206,20-24 ára,32,1713
2024,206,20-24 ára,38,1713
2024,206,30-34 ára,76,1713
2023,206,40-44 ára,62,1713
2024,206,0-4 ára,57,1713
2023,206,30-34 ára,79,1713
2023,206,5-9 ára,72,1785
2024,206,70-74 ára,52,1713
2024,206,60-64 ára,45,1713
2023,206,15-19 ára,68,1713
2023,206,55-59 ára,44,1785
2024,206,45-49 ára,51,1785
2024,206,45-49 ára,65,1713
2023,206,60-64 ára,38,1785
2024,206,60-64 ára,42,1785
2024,206,85-89 ára,7,1785
2024,206,90 ára og eldri,1,1785
2023,206,20-24 ára,40,1785
2024,206,35-39 ára,76,1785
2023,206,10-14 ára,57,1713
2024,206,15-19 ára,60,1713
2023,206,75-79 ára,24,1713
2024,206,80-84 ára,5,1713
2023,206,55-59 ára,41,1713
2024,207,40-44 ára,41,1018
2023,207,75-79 ára,10,988
2024,207,45-49 ára,31,988
2024,207,35-39 ára,58,988
2024,207,65-69 ára,23,1018
2024,207,40-44 ára,42,988
2024,207,5-9 ára,42,1018
2024,207,45-49 ára,29,1018
2024,207,10-14 ára,37,988
2024,207,10-14 ára,34,1018
2024,207,15-19 ára,36,1018
2023,207,5-9 ára,36,988
2023,207,65-69 ára,12,988
2023,207,80-84 ára,2,988
2023,207,55-59 ára,24,1018
2023,207,5-9 ára,30,1018
2023,207,10-14 ára,35,988
2023,207,70-74 ára,10,988
2023,207,40-44 ára,36,1018
2024,207,60-64 ára,18,988
2023,207,15-19 ára,26,988
2023,207,15-19 ára,32,1018
2023,207,55-59 ára,24,988
2023,207,65-69 ára,21,1018
2023,207,10-14 ára,32,1018
2023,207,90 ára og eldri,3,988
2024,207,35-39 ára,63,1018
2023,207,70-74 ára,18,1018
2024,207,55-59 ára,22,988
2023,207,90 ára og eldri,5,1018
2024,207,5-9 ára,36,988
2024,207,90 ára og eldri,5,1018
2024,207,15-19 ára,27,988
2023,207,35-39 ára,58,1018
2024,207,90 ára og eldri,2,988
2023,207,35-39 ára,52,988
2023,207,50-54 ára,23,1018
2023,207,40-44 ára,41,988
2024,207,80-84 ára,7,1018
2024,207,85-89 ára,4,988
2023,207,20-24 ára,20,1018
2024,207,70-74 ára,19,1018
2023,207,50-54 ára,40,988
2023,207,60-64 ára,19,988
2023,207,25-29 ára,26,988
2024,207,20-24 ára,28,988
2023,207,75-79 ára,7,1018
2024,207,25-29 ára,32,988
2023,207,85-89 ára,4,1018
2024,207,80-84 ára,2,988
2023,207,0-4 ára,42,988
2023,207,25-29 ára,41,1018
2024,207,85-89 ára,4,1018
2023,207,80-84 ára,8,1018
2023,207,0-4 ára,34,1018
2023,207,45-49 ára,28,1018
2024,207,75-79 ára,11,988
2024,207,30-34 ára,41,988
2024,207,50-54 ára,20,1018
2024,207,60-64 ára,23,1018
2024,207,30-34 ára,54,1018
2023,207,45-49 ára,29,988
2024,207,25-29 ára,38,1018
2023,207,60-64 ára,23,1018
2024,207,0-4 ára,43,988
2024,207,65-69 ára,16,988
